 0.00000000e+00  0.00000000e+00 
 1.00000000e-14  1.30913214e-16 
 2.00000000e-14  1.89965773e-16 
 4.00000000e-14  7.12505397e-17 
 8.00000000e-14 -2.23980628e-16 
 1.60000000e-13  4.47865481e-16 
 3.20000000e-13  1.59431679e-15 
 6.40000000e-13  2.23736295e-15 
 1.28000000e-12  4.30606182e-15 
 2.28000000e-12 -2.75502817e-15 
 3.28000000e-12 -3.47166949e-14 
 4.28000000e-12 -6.13300676e-14 
 5.28000000e-12 -8.67831470e-14 
 6.28000000e-12 -1.11875321e-13 
 7.28000000e-12 -1.35218868e-13 
 8.28000000e-12 -1.58837507e-13 
 9.28000000e-12 -1.81034639e-13 
 1.02800000e-11 -2.03375097e-13 
 1.12800000e-11 -2.24855892e-13 
 1.22800000e-11 -2.46256934e-13 
 1.32800000e-11 -2.66712314e-13 
 1.42800000e-11 -2.87144057e-13 
 1.52800000e-11 -3.06817511e-13 
 1.62800000e-11 -3.26409445e-13 
 1.72800000e-11 -3.45098840e-13 
 1.82800000e-11 -3.63747993e-13 
 1.92800000e-11 -3.81730953e-13 
 2.02800000e-11 -3.99611289e-13 
 2.12800000e-11 -4.16785257e-13 
 2.22800000e-11 -4.33940902e-13 
 2.32800000e-11 -4.50566518e-13 
 2.42800000e-11 -4.66917776e-13 
 2.52800000e-11 -4.83017029e-13 
 2.62800000e-11 -4.98792770e-13 
 2.72800000e-11 -5.14023437e-13 
 2.82800000e-11 -5.28947709e-13 
 2.92800000e-11 -5.43586628e-13 
 3.02800000e-11 -5.58287850e-13 
 3.12800000e-11 -5.72404241e-13 
 3.22800000e-11 -5.86274192e-13 
 3.32800000e-11 -5.99920304e-13 
 3.42800000e-11 -6.13460305e-13 
 3.52800000e-11 -6.26592605e-13 
 3.62800000e-11 -6.39469465e-13 
 3.72800000e-11 -6.51740464e-13 
 3.82800000e-11 -6.63977756e-13 
 3.92800000e-11 -6.76054002e-13 
 4.02800000e-11 -6.87830623e-13 
 4.12800000e-11 -6.99335465e-13 
 4.22800000e-11 -7.10748896e-13 
 4.32800000e-11 -7.21880533e-13 
 4.42800000e-11 -7.32781808e-13 
 4.52800000e-11 -7.43305474e-13 
 4.62800000e-11 -7.53770979e-13 
 4.72800000e-11 -7.64017093e-13 
 4.82800000e-11 -7.73897176e-13 
 4.92800000e-11 -7.83526068e-13 
 5.02800000e-11 -7.93131960e-13 
 5.12800000e-11 -8.02579311e-13 
 5.22800000e-11 -8.11706314e-13 
 5.32800000e-11 -8.20737401e-13 
 5.42800000e-11 -8.29604692e-13 
 5.52800000e-11 -8.38251183e-13 
 5.62800000e-11 -8.46666789e-13 
 5.72800000e-11 -8.54902474e-13 
 5.82800000e-11 -8.63065880e-13 
 5.92800000e-11 -8.70957494e-13 
 6.02800000e-11 -8.78793794e-13 
 6.12800000e-11 -8.86441272e-13 
 6.22800000e-11 -8.93772523e-13 
 6.32800000e-11 -9.01001486e-13 
 6.42800000e-11 -9.08062754e-13 
 6.52800000e-11 -9.15093832e-13 
 6.62800000e-11 -9.22039626e-13 
 6.72800000e-11 -9.28717899e-13 
 6.82800000e-11 -9.35386765e-13 
 6.92800000e-11 -9.41842354e-13 
 7.02800000e-11 -9.48125968e-13 
 7.12800000e-11 -9.54377636e-13 
 7.22800000e-11 -9.60528573e-13 
 7.32800000e-11 -9.66518320e-13 
 7.42800000e-11 -9.72358703e-13 
 7.52800000e-11 -9.77839865e-13 
 7.62800000e-11 -9.83394107e-13 
 7.72800000e-11 -9.89054553e-13 
 7.82800000e-11 -9.94434721e-13 
 7.92800000e-11 -9.99701311e-13 
 8.02800000e-11 -1.00492881e-12 
 8.12800000e-11 -1.00994927e-12 
 8.22800000e-11 -1.01457561e-12 
 8.32800000e-11 -1.01925648e-12 
 8.42800000e-11 -1.02394515e-12 
 8.52800000e-11 -1.02869983e-12 
 8.62800000e-11 -1.03319524e-12 
 8.72800000e-11 -1.03747360e-12 
 8.82800000e-11 -1.04185484e-12 
 8.92800000e-11 -1.04615585e-12 
 9.02800000e-11 -1.05036073e-12 
 9.12800000e-11 -1.05445611e-12 
 9.22800000e-11 -1.05834298e-12 
 9.32800000e-11 -1.06218998e-12 
 9.42800000e-11 -1.06606700e-12 
 9.52800000e-11 -1.06977294e-12 
 9.62800000e-11 -1.07334726e-12 
 9.72800000e-11 -1.07688554e-12 
 9.82800000e-11 -1.08054580e-12 
 9.92800000e-11 -1.08404224e-12 
 1.00280000e-10 -1.08751046e-12 
 1.01280000e-10 -1.09086824e-12 
 1.02280000e-10 -1.09406666e-12 
 1.03280000e-10 -1.09722787e-12 
 1.04280000e-10 -1.10031638e-12 
 1.05280000e-10 -1.10331913e-12 
 1.06280000e-10 -1.10619829e-12 
 1.07280000e-10 -1.10897390e-12 
 1.08280000e-10 -1.11174378e-12 
 1.09280000e-10 -1.11447222e-12 
 1.10280000e-10 -1.11724955e-12 
 1.11280000e-10 -1.11993187e-12 
 1.12280000e-10 -1.12254821e-12 
 1.13280000e-10 -1.12512777e-12 
 1.14280000e-10 -1.12765970e-12 
 1.15280000e-10 -1.13021588e-12 
 1.16280000e-10 -1.13237870e-12 
 1.17280000e-10 -1.13458550e-12 
 1.18280000e-10 -1.13687418e-12 
 1.19280000e-10 -1.13902282e-12 
 1.20280000e-10 -1.14119817e-12 
 1.21280000e-10 -1.14335475e-12 
 1.22280000e-10 -1.14537047e-12 
 1.23280000e-10 -1.14743971e-12 
 1.24280000e-10 -1.14954718e-12 
 1.25280000e-10 -1.15140634e-12 
 1.26280000e-10 -1.15328985e-12 
 1.27280000e-10 -1.15515102e-12 
 1.28280000e-10 -1.15688652e-12 
 1.29280000e-10 -1.15881415e-12 
 1.30280000e-10 -1.16056838e-12 
 1.31280000e-10 -1.16218236e-12 
 1.32280000e-10 -1.16396008e-12 
 1.33280000e-10 -1.16550775e-12 
 1.34280000e-10 -1.16703780e-12 
 1.35280000e-10 -1.16892199e-12 
 1.36280000e-10 -1.17059027e-12 
 1.37280000e-10 -1.17215036e-12 
 1.38280000e-10 -1.17380110e-12 
 1.39280000e-10 -1.17517688e-12 
 1.40280000e-10 -1.17663474e-12 
 1.41280000e-10 -1.17809617e-12 
 1.42280000e-10 -1.17951814e-12 
 1.43280000e-10 -1.18095299e-12 
 1.44280000e-10 -1.18230454e-12 
 1.45280000e-10 -1.18357659e-12 
 1.46280000e-10 -1.18483880e-12 
 1.47280000e-10 -1.18594484e-12 
 1.48280000e-10 -1.18706218e-12 
 1.49280000e-10 -1.18825001e-12 
 1.50280000e-10 -1.18941723e-12 
 1.51280000e-10 -1.19045102e-12 
 1.52280000e-10 -1.19146108e-12 
 1.53280000e-10 -1.19253684e-12 
 1.54280000e-10 -1.19373280e-12 
 1.55280000e-10 -1.19504330e-12 
 1.56280000e-10 -1.19619288e-12 
 1.57280000e-10 -1.19725817e-12 
 1.58280000e-10 -1.19819543e-12 
 1.59280000e-10 -1.19914269e-12 
 1.60280000e-10 -1.20002939e-12 
 1.61280000e-10 -1.20076094e-12 
 1.62280000e-10 -1.20137454e-12 
 1.63280000e-10 -1.20210745e-12 
 1.64280000e-10 -1.20306306e-12 
 1.65280000e-10 -1.20405978e-12 
 1.66280000e-10 -1.20484862e-12 
 1.67280000e-10 -1.20562139e-12 
 1.68280000e-10 -1.20648342e-12 
 1.69280000e-10 -1.20732042e-12 
